timestamp,space_id,is_occupied
2026-05-08 20:24:28,0,1
2026-05-08 20:24:28,1,1
2026-05-08 20:24:28,2,1
2026-05-08 20:24:28,3,1
2026-05-08 20:24:28,4,1
2026-05-08 20:24:28,5,1
2026-05-08 20:24:28,6,1
2026-05-08 20:24:28,7,1
2026-05-08 20:24:28,8,1
2026-05-08 20:24:28,9,1
2026-05-08 20:24:28,10,1
2026-05-08 20:24:28,11,1
2026-05-08 20:24:28,12,1
2026-05-08 20:24:28,13,1
2026-05-08 20:24:28,14,1
2026-05-08 20:24:28,15,1
2026-05-08 20:24:28,16,1
2026-05-08 20:24:28,17,1
2026-05-08 20:24:28,18,1
2026-05-08 20:24:28,19,1
2026-05-08 20:24:29,20,1
2026-05-08 20:24:29,21,1
2026-05-08 20:24:29,22,1
2026-05-08 20:24:29,23,1
2026-05-08 20:24:29,24,1
2026-05-08 20:24:32,26,1
2026-05-08 20:24:37,15,0
2026-05-08 20:24:41,15,1
2026-05-08 20:24:49,15,0
2026-05-08 20:24:53,15,1
2026-05-08 20:25:23,15,0
2026-05-08 20:25:27,15,1
2026-05-08 20:27:26,0,1
2026-05-08 20:27:26,1,1
2026-05-08 20:27:26,2,1
2026-05-08 20:27:26,3,1
2026-05-08 20:27:26,4,1
2026-05-08 20:27:26,5,1
2026-05-08 20:27:26,6,1
2026-05-08 20:27:26,7,1
2026-05-08 20:27:26,8,1
2026-05-08 20:27:26,9,1
2026-05-08 20:27:26,10,1
2026-05-08 20:27:26,11,1
2026-05-08 20:27:26,12,1
2026-05-08 20:27:26,13,1
2026-05-08 20:27:26,14,1
2026-05-08 20:27:26,15,1
2026-05-08 20:27:26,16,1
2026-05-08 20:27:26,17,1
2026-05-08 20:27:26,18,1
2026-05-08 20:27:26,19,1
2026-05-08 20:27:26,20,1
2026-05-08 20:27:26,21,1
2026-05-08 20:27:26,22,1
2026-05-08 20:27:26,23,1
2026-05-08 20:27:26,24,1
2026-05-08 20:27:30,26,1
2026-05-08 20:27:34,15,0
2026-05-08 20:27:38,15,1
2026-05-08 20:29:26,0,1
2026-05-08 20:29:26,1,1
2026-05-08 20:29:26,2,1
2026-05-08 20:29:26,3,1
2026-05-08 20:29:26,4,1
2026-05-08 20:29:26,5,1
2026-05-08 20:29:26,6,1
2026-05-08 20:29:26,7,1
2026-05-08 20:29:26,8,1
2026-05-08 20:29:26,9,1
2026-05-08 20:29:26,10,1
2026-05-08 20:29:26,11,1
2026-05-08 20:29:26,12,1
2026-05-08 20:29:26,13,1
2026-05-08 20:29:26,14,1
2026-05-08 20:29:26,15,1
2026-05-08 20:29:26,16,1
2026-05-08 20:29:26,17,1
2026-05-08 20:29:26,18,1
2026-05-08 20:29:26,19,1
2026-05-08 20:29:26,20,1
2026-05-08 20:29:26,21,1
2026-05-08 20:29:26,22,1
2026-05-08 20:29:26,23,1
2026-05-08 20:29:26,24,1
2026-05-08 20:29:30,26,1
2026-05-08 20:29:48,0,1
2026-05-08 20:29:48,1,1
2026-05-08 20:29:48,2,1
2026-05-08 20:29:48,3,1
2026-05-08 20:29:48,4,1
2026-05-08 20:29:48,6,1
2026-05-08 20:29:48,7,1
2026-05-08 20:29:48,8,1
2026-05-08 20:29:48,9,1
2026-05-08 20:29:48,10,1
2026-05-08 20:29:48,11,1
2026-05-08 20:29:48,12,1
2026-05-08 20:29:48,13,1
2026-05-08 20:29:48,14,1
2026-05-08 20:29:48,16,1
2026-05-08 20:29:48,17,1
2026-05-08 20:29:48,18,1
2026-05-08 20:29:48,19,1
2026-05-08 20:29:48,20,1
2026-05-08 20:29:48,21,1
2026-05-08 20:29:48,22,1
2026-05-08 20:29:48,23,1
2026-05-08 20:29:48,24,1
2026-05-08 20:29:48,26,1
2026-05-08 20:29:52,5,1
2026-05-08 20:29:52,15,1
2026-05-08 20:30:00,15,0
2026-05-08 20:30:04,15,1
2026-05-08 20:31:23,0,1
2026-05-08 20:31:23,1,1
2026-05-08 20:31:23,2,1
2026-05-08 20:31:23,3,1
2026-05-08 20:31:23,5,1
2026-05-08 20:31:23,6,1
2026-05-08 20:31:23,7,1
2026-05-08 20:31:23,8,1
2026-05-08 20:31:23,9,1
2026-05-08 20:31:23,10,1
2026-05-08 20:31:23,11,1
2026-05-08 20:31:23,12,1
2026-05-08 20:31:23,13,1
2026-05-08 20:31:23,14,1
2026-05-08 20:31:23,15,1
2026-05-08 20:31:23,17,1
2026-05-08 20:31:23,19,1
2026-05-08 20:31:23,20,1
2026-05-08 20:31:23,21,1
2026-05-08 20:31:23,22,1
2026-05-08 20:31:23,23,1
2026-05-08 20:31:23,24,1
2026-05-08 20:31:23,25,1
2026-05-08 20:31:25,16,1
2026-05-08 20:31:27,18,1
2026-05-08 20:31:29,4,1
2026-05-08 20:31:31,19,0
2026-05-08 20:31:35,19,1
2026-05-08 20:31:37,4,0
2026-05-08 20:31:41,4,1
2026-05-08 20:31:49,4,0
2026-05-08 20:31:53,4,1
2026-05-08 20:32:29,19,0
2026-05-08 20:32:33,19,1
2026-05-08 20:32:35,4,0
2026-05-08 20:32:39,4,1
2026-05-08 20:32:47,4,0
2026-05-08 20:32:51,4,1
2026-05-08 20:33:00,4,0
2026-05-08 20:33:04,4,1
2026-05-08 20:33:12,4,0
2026-05-08 20:33:16,4,1
2026-05-08 20:33:24,4,0
2026-05-08 20:33:28,4,1
2026-05-08 20:33:42,19,0
2026-05-08 20:33:46,19,1
2026-05-08 20:33:58,4,0
2026-05-08 20:34:02,4,1
2026-05-08 20:34:10,4,0
2026-05-08 20:34:14,4,1
2026-05-08 20:34:22,4,0
2026-05-08 20:34:26,4,1
2026-05-08 20:34:35,4,0
2026-05-08 20:34:39,4,1
2026-05-08 20:35:03,19,0
2026-05-08 20:35:07,19,1
2026-05-08 20:35:09,4,0
2026-05-08 20:35:13,4,1
2026-05-08 20:35:21,4,0
2026-05-08 20:35:25,4,1
2026-05-08 20:35:33,4,0
2026-05-08 20:35:38,4,1
2026-05-08 20:35:46,4,0
2026-05-08 20:35:50,4,1
2026-05-08 20:36:32,4,0
2026-05-08 20:36:36,4,1
2026-05-08 20:36:44,4,0
2026-05-08 20:36:48,4,1
2026-05-08 20:36:50,19,0
2026-05-08 20:36:54,19,1
2026-05-08 20:36:56,4,0
2026-05-08 20:37:01,4,1
2026-05-08 20:37:09,4,0
2026-05-08 20:37:13,4,1
2026-05-08 20:37:37,19,0
2026-05-08 20:37:41,19,1
2026-05-08 20:37:43,4,0
2026-05-08 20:37:47,4,1
2026-05-08 20:37:55,4,0
2026-05-08 20:39:59,0,1
2026-05-08 20:39:59,1,1
2026-05-08 20:39:59,2,1
2026-05-08 20:39:59,3,1
2026-05-08 20:39:59,5,1
2026-05-08 20:39:59,6,1
2026-05-08 20:39:59,7,1
2026-05-08 20:39:59,8,1
2026-05-08 20:39:59,9,1
2026-05-08 20:39:59,10,1
2026-05-08 20:39:59,11,1
2026-05-08 20:39:59,12,1
2026-05-08 20:39:59,13,1
2026-05-08 20:39:59,14,1
2026-05-08 20:39:59,15,1
2026-05-08 20:39:59,16,1
2026-05-08 20:39:59,17,1
2026-05-08 20:39:59,18,1
2026-05-08 20:39:59,19,1
2026-05-08 20:39:59,20,1
2026-05-08 20:39:59,21,1
2026-05-08 20:39:59,22,1
2026-05-08 20:39:59,23,1
2026-05-08 20:39:59,24,1
2026-05-08 20:39:59,25,1
2026-05-08 20:40:05,4,1
2026-05-08 20:40:07,19,0
2026-05-08 20:40:12,19,1
2026-05-08 20:40:14,4,0
2026-05-08 20:40:18,4,1
2026-05-08 20:40:26,4,0
2026-05-08 20:40:28,0,1
2026-05-08 20:40:28,1,1
2026-05-08 20:40:28,2,1
2026-05-08 20:40:28,3,1
2026-05-08 20:40:28,4,0
2026-05-08 20:40:28,5,1
2026-05-08 20:40:28,6,1
2026-05-08 20:40:28,7,1
2026-05-08 20:40:28,8,1
2026-05-08 20:40:28,9,1
2026-05-08 20:40:28,10,1
2026-05-08 20:40:28,11,1
2026-05-08 20:40:28,12,1
2026-05-08 20:40:28,13,1
2026-05-08 20:40:28,14,1
2026-05-08 20:40:28,15,1
2026-05-08 20:40:28,16,1
2026-05-08 20:40:28,17,1
2026-05-08 20:40:28,18,1
2026-05-08 20:40:28,19,1
2026-05-08 20:40:28,20,1
2026-05-08 20:40:28,21,1
2026-05-08 20:40:28,22,1
2026-05-08 20:40:28,23,1
2026-05-08 20:40:28,24,1
2026-05-08 20:40:28,25,1
2026-05-08 20:40:30,4,1
2026-05-08 20:40:38,4,0
2026-05-08 20:40:42,4,1
2026-05-08 20:40:50,4,0
2026-05-08 20:40:54,4,1
2026-05-08 20:40:58,0,1
2026-05-08 20:40:58,1,1
2026-05-08 20:40:58,2,1
2026-05-08 20:40:58,3,1
2026-05-08 20:40:58,4,1
2026-05-08 20:40:58,5,1
2026-05-08 20:40:58,6,1
2026-05-08 20:40:58,7,1
2026-05-08 20:40:58,8,1
2026-05-08 20:40:58,9,1
2026-05-08 20:40:58,10,1
2026-05-08 20:40:58,11,1
2026-05-08 20:40:58,12,1
2026-05-08 20:40:58,13,1
2026-05-08 20:40:58,14,1
2026-05-08 20:40:58,15,1
2026-05-08 20:40:58,16,1
2026-05-08 20:40:58,17,1
2026-05-08 20:40:58,18,1
2026-05-08 20:40:58,19,1
2026-05-08 20:40:58,20,1
2026-05-08 20:40:58,21,1
2026-05-08 20:40:58,22,1
2026-05-08 20:40:58,23,1
2026-05-08 20:40:58,24,1
2026-05-08 20:40:58,25,1
2026-05-08 20:41:18,19,0
2026-05-08 20:41:24,19,1
2026-05-08 20:41:28,0,1
2026-05-08 20:41:28,1,1
2026-05-08 20:41:28,2,1
2026-05-08 20:41:28,3,1
2026-05-08 20:41:28,4,1
2026-05-08 20:41:28,5,1
2026-05-08 20:41:28,6,1
2026-05-08 20:41:28,7,1
2026-05-08 20:41:28,8,1
2026-05-08 20:41:28,9,1
2026-05-08 20:41:28,10,1
2026-05-08 20:41:28,11,1
2026-05-08 20:41:28,12,1
2026-05-08 20:41:28,13,1
2026-05-08 20:41:28,14,1
2026-05-08 20:41:28,15,1
2026-05-08 20:41:28,16,1
2026-05-08 20:41:28,17,1
2026-05-08 20:41:28,18,1
2026-05-08 20:41:28,19,1
2026-05-08 20:41:28,20,1
2026-05-08 20:41:28,21,1
2026-05-08 20:41:28,22,1
2026-05-08 20:41:28,23,1
2026-05-08 20:41:28,24,1
2026-05-08 20:41:28,25,1
2026-05-08 20:41:30,19,0
2026-05-08 20:41:36,19,1
2026-05-08 20:41:43,19,0
2026-05-08 20:41:47,19,1
2026-05-08 20:41:49,4,0
2026-05-08 20:41:53,4,1
2026-05-08 20:41:59,0,1
2026-05-08 20:41:59,1,1
2026-05-08 20:41:59,2,1
2026-05-08 20:41:59,3,1
2026-05-08 20:41:59,4,1
2026-05-08 20:41:59,5,1
2026-05-08 20:41:59,6,1
2026-05-08 20:41:59,7,1
2026-05-08 20:41:59,8,1
2026-05-08 20:41:59,9,1
2026-05-08 20:41:59,10,1
2026-05-08 20:41:59,11,1
2026-05-08 20:41:59,12,1
2026-05-08 20:41:59,13,1
2026-05-08 20:41:59,14,1
2026-05-08 20:41:59,15,1
2026-05-08 20:41:59,16,1
2026-05-08 20:41:59,17,1
2026-05-08 20:41:59,18,1
2026-05-08 20:41:59,19,1
2026-05-08 20:41:59,20,1
2026-05-08 20:41:59,21,1
2026-05-08 20:41:59,22,1
2026-05-08 20:41:59,23,1
2026-05-08 20:41:59,24,1
2026-05-08 20:41:59,25,1
2026-05-08 20:42:01,4,0
2026-05-08 20:42:05,4,1
2026-05-08 20:42:13,4,0
2026-05-08 20:42:17,4,1
2026-05-08 20:42:25,4,0
2026-05-08 20:42:29,4,1
2026-05-08 20:42:29,0,1
2026-05-08 20:42:29,1,1
2026-05-08 20:42:29,2,1
2026-05-08 20:42:29,3,1
2026-05-08 20:42:29,4,1
2026-05-08 20:42:29,5,1
2026-05-08 20:42:29,6,1
2026-05-08 20:42:29,7,1
2026-05-08 20:42:29,8,1
2026-05-08 20:42:29,9,1
2026-05-08 20:42:29,10,1
2026-05-08 20:42:29,11,1
2026-05-08 20:42:29,12,1
2026-05-08 20:42:29,13,1
2026-05-08 20:42:29,14,1
2026-05-08 20:42:29,15,1
2026-05-08 20:42:29,16,1
2026-05-08 20:42:29,17,1
2026-05-08 20:42:29,18,1
2026-05-08 20:42:29,19,1
2026-05-08 20:42:29,20,1
2026-05-08 20:42:29,21,1
2026-05-08 20:42:29,22,1
2026-05-08 20:42:29,23,1
2026-05-08 20:42:29,24,1
2026-05-08 20:42:29,25,1
2026-05-08 20:42:59,0,1
2026-05-08 20:42:59,1,1
2026-05-08 20:42:59,2,1
2026-05-08 20:42:59,3,1
2026-05-08 20:42:59,4,1
2026-05-08 20:42:59,5,1
2026-05-08 20:42:59,6,1
2026-05-08 20:42:59,7,1
2026-05-08 20:42:59,8,1
2026-05-08 20:42:59,9,1
2026-05-08 20:42:59,10,1
2026-05-08 20:42:59,11,1
2026-05-08 20:42:59,12,1
2026-05-08 20:42:59,13,1
2026-05-08 20:42:59,14,1
2026-05-08 20:42:59,15,1
2026-05-08 20:42:59,16,1
2026-05-08 20:42:59,17,1
2026-05-08 20:42:59,18,1
2026-05-08 20:42:59,19,1
2026-05-08 20:42:59,20,1
2026-05-08 20:42:59,21,1
2026-05-08 20:42:59,22,1
2026-05-08 20:42:59,23,1
2026-05-08 20:42:59,24,1
2026-05-08 20:42:59,25,1
2026-05-08 20:43:12,4,0
2026-05-08 20:43:16,4,1
2026-05-08 20:43:24,4,0
2026-05-08 20:43:28,4,1
2026-05-08 20:43:30,0,1
2026-05-08 20:43:30,1,1
2026-05-08 20:43:30,2,1
2026-05-08 20:43:30,3,1
2026-05-08 20:43:30,4,1
2026-05-08 20:43:30,5,1
2026-05-08 20:43:30,6,1
2026-05-08 20:43:30,7,1
2026-05-08 20:43:30,8,1
2026-05-08 20:43:30,9,1
2026-05-08 20:43:30,10,1
2026-05-08 20:43:30,11,1
2026-05-08 20:43:30,12,1
2026-05-08 20:43:30,13,1
2026-05-08 20:43:30,14,1
2026-05-08 20:43:30,15,1
2026-05-08 20:43:30,16,1
2026-05-08 20:43:30,17,1
2026-05-08 20:43:30,18,1
2026-05-08 20:43:30,19,1
2026-05-08 20:43:30,20,1
2026-05-08 20:43:30,21,1
2026-05-08 20:43:30,22,1
2026-05-08 20:43:30,23,1
2026-05-08 20:43:30,24,1
2026-05-08 20:43:30,25,1
